name,load,active,sub
apparmor.service,loaded,active,exited
apport.service,loaded,active,exited
blk-availability.service,loaded,active,exited
cloud-config.service,loaded,active,exited
cloud-final.service,loaded,active,exited
cloud-init-local.service,loaded,active,exited
cloud-init.service,loaded,active,exited
console-setup.service,loaded,active,exited
cron.service,loaded,active,running
dbus.service,loaded,active,running
fail2ban.service,loaded,active,running
finalrd.service,loaded,active,exited
fwupd.service,loaded,active,running
getty@tty1.service,loaded,active,running
keyboard-setup.service,loaded,active,exited
kmod-static-nodes.service,loaded,active,exited
ldconfig.service,loaded,active,exited
lvm2-monitor.service,loaded,active,exited
ModemManager.service,loaded,active,running
multipathd.service,loaded,active,running
open-vm-tools.service,loaded,active,running
plymouth-quit-wait.service,loaded,active,exited
plymouth-quit.service,loaded,active,exited
plymouth-read-write.service,loaded,active,exited
polkit.service,loaded,active,running
rsyslog.service,loaded,active,running
setvtrgb.service,loaded,active,exited
snapd.apparmor.service,loaded,active,exited
snapd.seeded.service,loaded,active,exited
ssh.service,loaded,active,running
sysstat.service,loaded,active,exited
systemd-binfmt.service,loaded,active,exited
systemd-fsck@dev-disk-by\x2duuid-ceeec392\x2d7a3a\x2d4ef4\x2d9d64\x2d1cfa2e535d37.service,loaded,active,exited
systemd-journal-catalog-update.service,loaded,active,exited
systemd-journal-flush.service,loaded,active,exited
systemd-journald.service,loaded,active,running
systemd-logind.service,loaded,active,running
systemd-modules-load.service,loaded,active,exited
systemd-networkd.service,loaded,active,running
systemd-random-seed.service,loaded,active,exited
systemd-remount-fs.service,loaded,active,exited
systemd-resolved.service,loaded,active,running
systemd-sysctl.service,loaded,active,exited
systemd-sysusers.service,loaded,active,exited
systemd-timesyncd.service,loaded,active,running
systemd-tmpfiles-setup-dev-early.service,loaded,active,exited
systemd-tmpfiles-setup-dev.service,loaded,active,exited
systemd-tmpfiles-setup.service,loaded,active,exited
systemd-udev-trigger.service,loaded,active,exited
systemd-udevd.service,loaded,active,running
systemd-update-done.service,loaded,active,exited
systemd-update-utmp.service,loaded,active,exited
systemd-user-sessions.service,loaded,active,exited
udisks2.service,loaded,active,running
ufw.service,loaded,active,exited
unattended-upgrades.service,loaded,active,running
upower.service,loaded,active,running
user-runtime-dir@1000.service,loaded,active,exited
user@1000.service,loaded,active,running
vgauth.service,loaded,active,running
